genome AT      BD      CS      EP      ES      GM      GR      MX      MT      OB      OS      SL      SB      ZM
AT       000    124    117    079    079    112    108    112    120    126    124    114    116    124
BD       096    000    095    093    087    086    086    089    094    088    080    092    076    087
CS       097    109    000    097    094    089    087    092    102    108    107    093    096    103
EP       072    120    113    000    072    104    100    106    117    120    121    105    108    114
ES       078    120    115    072    000    105    103    110    114    121    119    109    111    116
GM       083    089    081    082    076    000    074    078    075    089    087    078    076    085
GR       085    095    086    087    080    077    000    078    086    092    093    083    082    092
MX       071    079    072    071    068    069    066    000    078    082    083    072    073    079
MT       100    108    106    098    092    080    091    095    000    110    105    092    092    101
OB       101    093    103    101    099    090    093    096    102    000    079    098    085    092
OS       092    076    091    091    087    081    084    087    091    067    000    088    079    080
SL       114    120    114    114    107    102    105    106    114    123    120    000    111    115
SB       099    094    095    095    094    085    087    094    092    089    086    091    000    066
ZM       083    077    084    081    080    075    074    085    084    078    075    079    050    000
