genome           type_dyw      type_ep      type_e      type_pls      type_p
Pf                      0            0           0             0           0
Ot                      0            0           0             0          16
Mt                     46           49          14             0         295
Ep                     62           50          15             0         297
Cs                     66           61          12             0         299
Bd                     65           39          26             0         313
Sl                     67           52          26             0         300
At                     64           51          18             0         327
Ob                     70           45          31             0         318
Es                     64           45          14             0         343
Sb                     66           41          21             0         342
Os                     76           40          34             0         336
Gr                     83           70          17             0         406
Zm                     67           45          25             0         448
Mx                     84           69          24             0         469
Gm                    115           72          38             0         715
