     length      p      e      ep      dyw      pls
          2    188      4       0        1        0
          3    162      2       2        1        0
          4    157      6       3       12        0
          5    159      1       4        8        0
          6    185      6       4       10        0
          7    204     10       4       12        0
          8    264      8      12       10        0
          9    376     21      23       37        0
         10    480     34      40       46        0
         11    412     29      56      103        0
         12    394     42      89      123        0
         13    393     37      58       89        0
         14    362     24      71       83        0
         15    305     26      71      100        0
         16    234     22      47       69        0
         17    247     18      69       71        0
         18    199     11      68       75        0
         19    154      9      30       52        0
         20    114      3      26       42        0
         21     75      2      23       28        0
         22     38      0       8       10        0
         23     34      0       6        4        0
         24     20      0       5        1        0
         25     13      0       6        2        0
         26     24      0       3        3        0
         27     17      0       0        2        0
         28      7      0       1        1        0
         29      4      0       0        0        0
         30      0      0       0        0        0
         31      1      0       0        0        0
         32      1      0       0        0        0
         33      0      0       0        0        0
         34      1      0       0        0        0
