x  y
2 1.0
3 1.0
4 1.0
5 1.0
6 1.0
7 0.999998914802
8 0.967719112003
9 0.576122236505
10 0.193117260778
11 0.0522307306268
12 0.0133215184637
13 0.00334714709049
14 0.000837839136896
15 0.000209525625923
16 5.23855226649e-05
17 1.30966379446e-05
18 3.27417556624e-06
19 8.1854489667e-07
20 2.04636286994e-07
21 5.11590756543e-08
22 1.27897692028e-08
23 3.19744230836e-09
24 7.9936057757e-10
25 1.99840144423e-10
26 4.99600361075e-11
27 1.2490009027e-11
28 3.12239123445e-12
29 7.80708830916e-13
30 1.95177207729e-13
31 4.88498130835e-14
32 1.22124532709e-14
33 3.10862446895e-15
34 6.66133814775e-16
35 2.22044604925e-16
